ID,Type,Alcohol,Calories
1,Ale,5.5,160
2,Ale,5.4,156
3,Ale,4.85,146
4,Ale,4.5,150
5,Ale,5.2,160
6,Ale,5.3,174
7,Ale,5.3,177
8,Ale,5.2,177
9,Ale,5.77,179
10,Ale,4.94,160
11,Ale,5.6,187
12,Ale,5.6,175
13,Ale,6.77,167
14,Lager,5,145
15,Lager,5,150
16,Lager,5,153
17,Lager,4.9,153
18,Lager,4.94,163
19,Lager,4.9,175
20,Lager,4.7,146
21,Lager,4.75,160
22,Lager,4.55,142
23,Lager,4.81,169
24,Lager,4.4,156
25,Lager,5,146
26,Lager,5,147
27,Lager,4.6,138
28,Lager,4.79,153
29,Lager,5,150
30,Lager,5.8,160
31,Lager,4.9,140
