ID,Times
1,1.1
2,1.4
3,0.683333333
4,0.716666666
5,0.316666666
6,0.533333334
7,0.35
8,0.7
9,1.633333333
10,0.933333334
11,0.533333334
12,0.283333333
13,0.516666666
14,0.383333334
15,1.783333333
16,1.216666667
17,0.883333333
18,0.383333334
19,1.566666667
20,0.216666667
21,0.483333333
22,1.333333334
23,0.133333333
24,0.833333334
25,0.766666667
26,0.783333333
27,0.3
28,0.683333333
29,0.566666667
30,0.683333333
31,0.866666667
32,0.7
33,0.333333333
34,0.983333334
35,0.616666667
36,0.383333333
37,0.35
38,0.283333333
39,0.566666667
40,1.766666667
41,1.6
42,0.783333334
43,0.316666666
44,0.616666667
45,0.316666666
46,0.15
47,0.516666667
48,0.7
49,0.233333333
50,0.833333333
51,0.65
52,0.916666667
53,1.333333334
54,0.25
55,0.133333333
56,0.383333333
57,2.2
58,0.35
59,0.55
60,0.933333334
61,0.4
62,0.566666666
63,0.433333334
64,1.633333334
65,1.966666666
66,0.65
67,1.133333333
68,0.5
69,0.15
70,1.05
71,0.75
72,1
73,1.133333334
74,1.15
75,0.816666667
76,0.866666667
77,0.45
78,0.15
79,0.383333333
80,0.55
81,0.683333333
82,0.966666667
83,0.533333333
84,0.35
85,0.666666667
86,0.633333334
87,0.466666667
88,0.466666667
89,0.783333334
90,0.6
91,1.483333333
92,0.733333334
93,1.4
94,1.033333333
95,0.683333333
96,0.1
97,0.45
98,0.416666667
99,0.516666666
100,1.15
101,0.466666667
102,0.183333334
103,0.433333333
104,0.3
105,0.666666666
106,1.15
107,0.55
108,0.733333334
109,0.9
110,0.95
111,0.583333333
112,1.3
113,0.316666666
114,0.733333334
115,0.433333334
116,0.283333333
117,0.316666667
118,0.416666666
119,0.933333334
120,0.8
121,0.45
122,0.6
123,0.25
124,1.783333334
125,0.5
126,0.5
127,0.233333333
128,0.216666667
129,1.033333333
130,0.516666667
131,0.7
132,0.216666667
133,0.833333333
134,1.183333333
135,1.116666667
136,0.433333333
137,0.283333334
138,0.35
139,0.716666667
140,0.4
141,0.333333334
142,0.216666667
143,0.433333333
144,0.3
145,0.35
146,1.666666666
147,0.983333334
148,0.316666667
149,1.416666667
150,1.033333333
151,1.116666667
152,0.55
153,0.466666667
154,0.566666666
155,0.55
156,0.983333333
157,0.8
158,0.533333333
159,0.3
160,0.3
161,1.183333333
162,0.166666666
163,0.366666667
164,0.366666667
165,0.15
166,0.183333333
167,0.283333334
168,0.633333334
169,0.566666667
170,0.45
171,0.983333333
172,1.433333333
173,1.816666667
174,1.183333333
