"variety","Grand Rapids","Duluth","University Farm","Morris","Crookston","Waseca"
"Svansota",16.6333,22.2333,27.4333,35.0333,20.6333,38.5
"No. 462",19.9,22.5,25.5667,47,30.5333,44.7
"Manchuria",22.1333,22.5667,26.9,34.3667,32.9667,33.4667
"No. 475",15.2333,27.3667,30,44.2333,32.1333,41.2667
"Velvet",32.2333,22.4667,26.8,38.8333,32.0667,37.4
"Peatland",26.7667,31.3667,28.0667,43.2,25.2333,36.0333
"Glabron",14.4333,25.8667,36.8,35.1333,26.1667,37.7333
"No. 457",19.4667,22.7,26.4333,43.5333,34.3333,42.2
"Wisconsin No. 38",20.6667,29.3333,38,47.1667,35.9,58.1667
"Trebi",20.6333,30.6,29.0667,46.6333,41.8333,49.2333
